barcode,split,plate,plate_index,plate_row,plate_col,Well Position
BC1,1,P1,1,0,1,A1
BC2,1,P1,2,0,2,A2
BC3,1,P1,3,0,3,A3
BC4,1,P1,4,0,4,A4
BC5,1,P1,5,0,5,A5
BC6,1,P1,6,0,6,A6
BC7,1,P1,7,0,7,A7
BC8,1,P1,8,0,8,A8
BC9,1,P1,9,0,9,A9
BC10,1,P1,10,0,10,A10
BC11,1,P1,11,0,11,A11
BC12,1,P1,12,1,0,A12
BC13,1,P1,13,1,1,B1
BC14,1,P1,14,1,2,B2
BC15,1,P1,15,1,3,B3
BC16,1,P1,16,1,4,B4
BC17,1,P1,17,1,5,B5
BC18,1,P1,18,1,6,B6
BC19,1,P1,19,1,7,B7
BC20,1,P1,20,1,8,B8
BC21,1,P1,21,1,9,B9
BC22,1,P1,22,1,10,B10
BC23,1,P1,23,1,11,B11
BC24,1,P1,24,2,0,B12
BC25,1,P1,25,2,1,C1
BC26,1,P1,26,2,2,C2
BC27,1,P1,27,2,3,C3
BC28,1,P1,28,2,4,C4
BC29,1,P1,29,2,5,C5
BC30,1,P1,30,2,6,C6
BC31,1,P1,31,2,7,C7
BC32,1,P1,32,2,8,C8
BC33,1,P1,33,2,9,C9
BC34,1,P1,34,2,10,C10
BC35,1,P1,35,2,11,C11
BC36,1,P1,36,3,0,C12
BC37,1,P1,37,3,1,D1
BC38,1,P1,38,3,2,D2
BC39,1,P1,39,3,3,D3
BC40,1,P1,40,3,4,D4
BC41,1,P1,41,3,5,D5
BC42,1,P1,42,3,6,D6
BC43,1,P1,43,3,7,D7
BC44,1,P1,44,3,8,D8
BC45,1,P1,45,3,9,D9
BC46,1,P1,46,3,10,D10
BC47,1,P1,47,3,11,D11
BC48,1,P1,48,4,0,D12
BC49,1,P1,49,4,1,E1
BC50,1,P1,50,4,2,E2
BC51,1,P1,51,4,3,E3
BC52,1,P1,52,4,4,E4
BC53,1,P1,53,4,5,E5
BC54,1,P1,54,4,6,E6
BC55,1,P1,55,4,7,E7
BC56,1,P1,56,4,8,E8
BC57,1,P1,57,4,9,E9
BC58,1,P1,58,4,10,E10
BC59,1,P1,59,4,11,E11
BC60,1,P1,60,5,0,E12
BC61,1,P1,61,5,1,F1
BC62,1,P1,62,5,2,F2
BC63,1,P1,63,5,3,F3
BC64,1,P1,64,5,4,F4
BC65,1,P1,65,5,5,F5
BC66,1,P1,66,5,6,F6
BC67,1,P1,67,5,7,F7
BC68,1,P1,68,5,8,F8
BC69,1,P1,69,5,9,F9
BC70,1,P1,70,5,10,F10
BC71,1,P1,71,5,11,F11
BC72,1,P1,72,6,0,F12
BC73,1,P1,73,6,1,G1
BC74,1,P1,74,6,2,G2
BC75,1,P1,75,6,3,G3
BC76,1,P1,76,6,4,G4
BC77,1,P1,77,6,5,G5
BC78,1,P1,78,6,6,G6
BC79,1,P1,79,6,7,G7
BC80,1,P1,80,6,8,G8
BC81,1,P1,81,6,9,G9
BC82,1,P1,82,6,10,G10
BC83,1,P1,83,6,11,G11
BC84,1,P1,84,7,0,G12
BC85,1,P1,85,7,1,H1
BC86,1,P1,86,7,2,H2
BC87,1,P1,87,7,3,H3
BC88,1,P1,88,7,4,H4
BC89,1,P1,89,7,5,H5
BC90,1,P1,90,7,6,H6
BC91,1,P1,91,7,7,H7
BC92,1,P1,92,7,8,H8
BC93,1,P1,93,7,9,H9
BC94,1,P1,94,7,10,H10
BC95,1,P1,95,7,11,H11
BC96,1,P1,96,8,0,H12
BC1,1,P1,0,0,0,A01
BC5,1,P1,1,0,1,A02
BC9,1,P1,2,0,2,A03
BC13,1,P1,3,0,3,A04
BC17,1,P1,4,0,4,A05
BC21,1,P1,5,0,5,A06
BC25,1,P1,6,0,6,A07
BC29,1,P1,7,0,7,A08
BC33,1,P1,8,0,8,A09
BC37,1,P1,9,0,9,A10
BC41,1,P1,10,0,10,A11
BC45,1,P1,11,0,11,A12
BC49,1,P1,12,1,0,B01
BC53,1,P1,13,1,1,B02
BC57,1,P1,14,1,2,B03
BC61,1,P1,15,1,3,B04
BC65,1,P1,16,1,4,B05
BC69,1,P1,17,1,5,B06
BC73,1,P1,18,1,6,B07
BC77,1,P1,19,1,7,B08
BC81,1,P1,20,1,8,B09
BC85,1,P1,21,1,9,B10
BC89,1,P1,22,1,10,B11
BC93,1,P1,23,1,11,B12
BC97,1,P1,24,2,0,C01
BC101,1,P1,25,2,1,C02
BC105,1,P1,26,2,2,C03
BC109,1,P1,27,2,3,C04
BC113,1,P1,28,2,4,C05
BC117,1,P1,29,2,5,C06
BC121,1,P1,30,2,6,C07
BC125,1,P1,31,2,7,C08
BC129,1,P1,32,2,8,C09
BC133,1,P1,33,2,9,C10
BC137,1,P1,34,2,10,C11
BC141,1,P1,35,2,11,C12
BC145,1,P1,36,3,0,D01
BC149,1,P1,37,3,1,D02
BC153,1,P1,38,3,2,D03
BC157,1,P1,39,3,3,D04
BC161,1,P1,40,3,4,D05
BC165,1,P1,41,3,5,D06
BC169,1,P1,42,3,6,D07
BC173,1,P1,43,3,7,D08
BC177,1,P1,44,3,8,D09
BC181,1,P1,45,3,9,D10
BC185,1,P1,46,3,10,D11
BC189,1,P1,47,3,11,D12
BC193,1,P1,48,4,0,E01
BC197,1,P1,49,4,1,E02
BC201,1,P1,50,4,2,E03
BC205,1,P1,51,4,3,E04
BC209,1,P1,52,4,4,E05
BC213,1,P1,53,4,5,E06
BC217,1,P1,54,4,6,E07
BC221,1,P1,55,4,7,E08
BC225,1,P1,56,4,8,E09
BC229,1,P1,57,4,9,E10
BC233,1,P1,58,4,10,E11
BC237,1,P1,59,4,11,E12
BC241,1,P1,60,5,0,F01
BC245,1,P1,61,5,1,F02
BC249,1,P1,62,5,2,F03
BC253,1,P1,63,5,3,F04
BC257,1,P1,64,5,4,F05
BC261,1,P1,65,5,5,F06
BC265,1,P1,66,5,6,F07
BC269,1,P1,67,5,7,F08
BC273,1,P1,68,5,8,F09
BC277,1,P1,69,5,9,F10
BC281,1,P1,70,5,10,F11
BC285,1,P1,71,5,11,F12
BC289,1,P1,72,6,0,G01
BC293,1,P1,73,6,1,G02
BC297,1,P1,74,6,2,G03
BC301,1,P1,75,6,3,G04
BC305,1,P1,76,6,4,G05
BC309,1,P1,77,6,5,G06
BC313,1,P1,78,6,6,G07
BC317,1,P1,79,6,7,G08
BC321,1,P1,80,6,8,G09
BC325,1,P1,81,6,9,G10
BC329,1,P1,82,6,10,G11
BC333,1,P1,83,6,11,G12
BC337,1,P1,84,7,0,H01
BC341,1,P1,85,7,1,H02
BC345,1,P1,86,7,2,H03
BC349,1,P1,87,7,3,H04
BC353,1,P1,88,7,4,H05
BC357,1,P1,89,7,5,H06
BC361,1,P1,90,7,6,H07
BC365,1,P1,91,7,7,H08
BC369,1,P1,92,7,8,H09
BC373,1,P1,93,7,9,H10
BC377,1,P1,94,7,10,H11
BC381,1,P1,95,7,11,H12
BC2,1,P2,0,0,0,A01
BC6,1,P2,1,0,1,A02
BC10,1,P2,2,0,2,A03
BC14,1,P2,3,0,3,A04
BC18,1,P2,4,0,4,A05
BC22,1,P2,5,0,5,A06
BC26,1,P2,6,0,6,A07
BC30,1,P2,7,0,7,A08
BC34,1,P2,8,0,8,A09
BC38,1,P2,9,0,9,A10
BC42,1,P2,10,0,10,A11
BC46,1,P2,11,0,11,A12
BC50,1,P2,12,1,0,B01
BC54,1,P2,13,1,1,B02
BC58,1,P2,14,1,2,B03
BC62,1,P2,15,1,3,B04
BC66,1,P2,16,1,4,B05
BC70,1,P2,17,1,5,B06
BC74,1,P2,18,1,6,B07
BC78,1,P2,19,1,7,B08
BC82,1,P2,20,1,8,B09
BC86,1,P2,21,1,9,B10
BC90,1,P2,22,1,10,B11
BC94,1,P2,23,1,11,B12
BC98,1,P2,24,2,0,C01
BC102,1,P2,25,2,1,C02
BC106,1,P2,26,2,2,C03
BC110,1,P2,27,2,3,C04
BC114,1,P2,28,2,4,C05
BC118,1,P2,29,2,5,C06
BC122,1,P2,30,2,6,C07
BC126,1,P2,31,2,7,C08
BC130,1,P2,32,2,8,C09
BC134,1,P2,33,2,9,C10
BC138,1,P2,34,2,10,C11
BC142,1,P2,35,2,11,C12
BC146,1,P2,36,3,0,D01
BC150,1,P2,37,3,1,D02
BC154,1,P2,38,3,2,D03
BC158,1,P2,39,3,3,D04
BC162,1,P2,40,3,4,D05
BC166,1,P2,41,3,5,D06
BC170,1,P2,42,3,6,D07
BC174,1,P2,43,3,7,D08
BC178,1,P2,44,3,8,D09
BC182,1,P2,45,3,9,D10
BC186,1,P2,46,3,10,D11
BC190,1,P2,47,3,11,D12
BC194,1,P2,48,4,0,E01
BC198,1,P2,49,4,1,E02
BC202,1,P2,50,4,2,E03
BC206,1,P2,51,4,3,E04
BC210,1,P2,52,4,4,E05
BC214,1,P2,53,4,5,E06
BC218,1,P2,54,4,6,E07
BC222,1,P2,55,4,7,E08
BC226,1,P2,56,4,8,E09
BC230,1,P2,57,4,9,E10
BC234,1,P2,58,4,10,E11
BC238,1,P2,59,4,11,E12
BC242,1,P2,60,5,0,F01
